NO,SECCODE,BUYSELL,TIME,ORDERNO,ACTION,PRICE,VOLUME,TRADENO,TRADEPRICE
1,EUR_RUB__TOM,B,100000053255,1,1,76.015,3000000,,
2,EUR_RUB__TOM,S,100000053274,2,1,76.235,3000000,,
3,GBPRUB_TOM,B,100000085872,3,1,83,1000,,
4,USD000UTSTOM,B,100000086472,4,1,63.1775,9000,,
5,USD000UTSTOM,B,100000100091,5,1,59.1,1000,,
6,EUR_RUB__TOM,S,100000103318,6,1,76.565,3000000,,
7,USD000UTSTOM,B,100000110416,7,1,61.6,1000,,
8,USD000UTSTOM,B,100000112461,8,1,63.15,26000,,
9,EUR_RUB__TOM,B,100000118302,9,1,76.035,3000000,,
10,EUR_RUB__TOM,B,100000118350,1,0,76.015,3000000,,
11,USD000UTSTOM,S,100000127340,10,1,66,1000,,
12,USD000UTSTOM,S,100000127371,11,1,66.91,18000,,
13,USD000UTSTOM,S,100000129192,12,1,66,1000,,
14,USD000UTSTOM,S,100000129491,13,1,65.78,1000,,
15,USD000UTSTOM,S,100000130938,14,1,66,1000,,
16,USD000UTSTOM,S,100000131649,15,1,66.0075,1000,,
17,USD000UTSTOM,S,100000132598,16,1,66.19,1000,,
18,USD000UTSTOM,S,100000133843,17,1,65.5,1000,,
19,USD000UTSTOM,S,100000134383,18,1,65.88,50000,,
20,USD000UTSTOM,S,100000136168,19,1,67,1000,,
21,USD000UTSTOM,S,100000136213,20,1,65.11,10000,,
22,USD000UTSTOM,S,100000137910,21,1,66.91,1000,,
23,USD000UTSTOM,S,100000138390,22,1,65.5,35000,,
24,USD000UTSTOM,S,100000139652,23,1,65.9625,1000,,
25,USD000UTSTOM,S,100000140589,24,1,65.15,1000,,
26,USD000UTSTOM,S,100000141414,25,1,65.9,18000,,
27,USD000UTSTOM,S,100000142645,26,1,65,1000,,
28,USD000UTSTOM,B,100000143268,27,1,63.21,40000,,
29,USD000UTSTOM,S,100000143487,28,1,65.285,1000,,
30,USD000UTSTOM,S,100000143650,29,1,63.41,40000,,
31,USD000UTSTOM,B,100000143948,30,1,63.21,40000,,
32,USD000UTSTOM,S,100000144237,31,1,63.41,40000,,
33,USD000UTSTOM,B,100000144532,32,1,63.21,40000,,
34,USD000UTSTOM,S,100000144767,33,1,66.88,2000,,
35,USD000UTSTOM,S,100000144814,34,1,63.41,40000,,
36,USD000UTSTOM,B,100000145090,35,1,63.21,40000,,
37,USD000UTSTOM,S,100000145248,36,1,65,1000,,
38,USD000UTSTOM,S,100000145361,37,1,63.41,40000,,
39,USD000UTSTOM,B,100000145633,38,1,63.21,40000,,
40,USD000UTSTOM,S,100000145900,39,1,63.41,40000,,
41,USD000UTSTOM,B,100000146195,40,1,63.21,40000,,
42,USD000UTSTOM,S,100000146470,41,1,63.41,40000,,
43,USD000UTSTOM,B,100000146770,42,1,63.21,40000,,
